2024-03-22 11:16:48,361 - connection - INFO - Client disconnected: ('127.0.0.1', 58079)
2024-03-22 11:16:48,567 - connection - INFO - Подключение от ('127.0.0.1', 58080)
2024-03-22 11:16:48,568 - connection - INFO - Connected client: ('127.0.0.1', 58080)
2024-03-22 11:16:48,568 - connection - INFO - Client choice: 1
2024-03-22 11:16:48,568 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58080)
2024-03-22 11:16:48,569 - connection - INFO - Client disconnected: ('127.0.0.1', 58080)
2024-03-22 11:16:48,769 - connection - INFO - Подключение от ('127.0.0.1', 58081)
2024-03-22 11:16:48,770 - connection - INFO - Connected client: ('127.0.0.1', 58081)
2024-03-22 11:16:48,770 - connection - INFO - Client choice: 1
2024-03-22 11:16:48,770 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58081)
2024-03-22 11:16:48,770 - connection - INFO - Client disconnected: ('127.0.0.1', 58081)
2024-03-22 11:16:48,978 - connection - INFO - Подключение от ('127.0.0.1', 58082)
2024-03-22 11:16:48,978 - connection - INFO - Connected client: ('127.0.0.1', 58082)
2024-03-22 11:16:48,979 - connection - INFO - Client choice: 1
2024-03-22 11:16:48,979 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58082)
2024-03-22 11:16:48,979 - connection - INFO - Client disconnected: ('127.0.0.1', 58082)
2024-03-22 11:16:49,179 - connection - INFO - Подключение от ('127.0.0.1', 58083)
2024-03-22 11:16:49,180 - connection - INFO - Connected client: ('127.0.0.1', 58083)
2024-03-22 11:16:49,180 - connection - INFO - Client choice: 1
2024-03-22 11:16:49,181 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58083)
2024-03-22 11:16:49,181 - connection - INFO - Client disconnected: ('127.0.0.1', 58083)
2024-03-22 11:16:49,368 - connection - INFO - Подключение от ('127.0.0.1', 58084)
2024-03-22 11:16:49,368 - connection - INFO - Connected client: ('127.0.0.1', 58084)
2024-03-22 11:16:49,369 - connection - INFO - Client choice: 1
2024-03-22 11:16:49,369 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58084)
2024-03-22 11:16:49,369 - connection - INFO - Client disconnected: ('127.0.0.1', 58084)
